n_estimators,max_depth,min_samples_split,min_weight_fraction_leaf,ccp_alpha,oob_score,max_features,r2score_train,mse_train,acc_train,r2score_val,mse_val,acc_val,time
1000,23,2,0,0,True,sqrt,0.9321572452223404,0.0512718609771633,0.95823472695263,0.4908645412701974,0.3843721213738536,0.6495883165581211,6.287473440170288
1000,23,2,0,0,True,log2,0.9321572452223404,0.0512718609771633,0.95823472695263,0.4908645412701974,0.3843721213738536,0.6495883165581211,6.258243560791016
1000,22,2,0,0,True,sqrt,0.9318365406143492,0.0515145515591432,0.9579384964707044,0.4904197621088127,0.3847106897662862,0.6519592132096572,6.288147926330566
1000,22,2,0,0,True,log2,0.9318365406143492,0.0515145515591432,0.9579384964707044,0.4904197621088127,0.3847106897662862,0.6519592132096572,6.350337266921997
1000,29,2,0,0,True,sqrt,0.9323901095459944,0.0510957419322852,0.9576423318031492,0.4900344950774228,0.3850008090083958,0.6489965133872772,6.302473783493042
1000,29,2,0,0,True,log2,0.9323901095459944,0.0510957419322852,0.9576423318031492,0.4900344950774228,0.3850008090083958,0.6489965133872772,6.340443134307861
1000,25,2,0,0,True,sqrt,0.9323473307528736,0.051128059832316,0.9577903483225562,0.4900181645156465,0.3850115875244529,0.6507735017433064,6.230925798416138
1000,25,2,0,0,True,log2,0.9323473307528736,0.051128059832316,0.9577903483225562,0.4900181645156465,0.3850115875244529,0.6507735017433064,6.329707860946655
1000,27,2,0,0,True,log2,0.9323945459256744,0.051092355580297,0.9577904141369268,0.4899645151757901,0.3850525373279905,0.6492925465429905,6.375268220901489
1000,27,2,0,0,True,sqrt,0.9323945459256744,0.051092355580297,0.9577904141369268,0.4899645151757901,0.3850525373279905,0.6492925465429905,6.285509824752808
1000,28,2,0,0,True,sqrt,0.9323996865702004,0.0510885199126175,0.9577904141369268,0.4899641580164446,0.385053563677234,0.648699953950398,6.2861645221710205
1000,28,2,0,0,True,log2,0.9323996865702004,0.0510885199126175,0.9577904141369268,0.4899641580164446,0.385053563677234,0.648699953950398,6.268649578094482
1000,24,2,0,0,True,sqrt,0.9322894697410417,0.0511719503791499,0.957494183655001,0.4899592167648732,0.3850558534848127,0.6510692717584369,6.330844640731812
1000,24,2,0,0,True,log2,0.9322894697410417,0.0511719503791499,0.957494183655001,0.4899592167648732,0.3850558534848127,0.6510692717584369,6.323377370834351
1000,26,2,0,0,True,sqrt,0.9323637266894071,0.0511157192149593,0.9577904141369268,0.4898873629268236,0.3851106871444907,0.649885402276166,6.280735731124878
1000,26,2,0,0,True,log2,0.9323637266894071,0.0511157192149593,0.9577904141369268,0.4898873629268236,0.3851106871444907,0.649885402276166,6.29701042175293
1000,20,2,0,0,True,sqrt,0.9303617543118416,0.0526294512105036,0.9571980848018166,0.4893576504182049,0.385514919205521,0.6519584237879087,6.226549386978149
1000,20,2,0,0,True,log2,0.9303617543118416,0.0526294512105036,0.9571980848018166,0.4893576504182049,0.385514919205521,0.6519584237879087,6.330204010009766
1000,21,2,0,0,True,sqrt,0.9313564425162952,0.0518778385719354,0.9580866446188526,0.4889866025688417,0.385789815090713,0.6531443983948425,6.315807104110718
1000,21,2,0,0,True,log2,0.9313564425162952,0.0518778385719354,0.9580866446188526,0.4889866025688417,0.385789815090713,0.6531443983948425,6.294326305389404
1000,19,2,0,0,True,sqrt,0.928588204701458,0.0539703878647497,0.9557171298352994,0.4888113946044055,0.3859317482593172,0.6522560357871192,6.190245866775513
1000,19,2,0,0,True,log2,0.928588204701458,0.0539703878647497,0.9557171298352994,0.4888113946044055,0.3859317482593172,0.6522560357871192,6.271942138671875
1000,18,2,0,0,True,log2,0.9256953585427184,0.0561567897767347,0.953347549237376,0.4875506617252179,0.3868825926124692,0.6516626537727781,6.36507511138916
1000,18,2,0,0,True,sqrt,0.9256953585427184,0.0561567897767347,0.953347549237376,0.4875506617252179,0.3868825926124692,0.6516626537727781,6.401827335357666
