kernel,epsilon,C,gamma,degree,r2score_train,mse_train,acc_train,r2score_val,mse_val,acc_val,scaler,time
rbf,0.25,1.4294613383568446,0.31622776601683794,0,0.8080529387016915,0.1450693197797238,0.8982526284614245,0.3859280363707231,0.4635654466182942,0.605451220314453,StandardScaler(),2.7506747245788574
rbf,0.3,1.4294613383568446,0.31622776601683794,0,0.7919190158218132,0.157263478879633,0.9016589170245324,0.3854463691362892,0.4639226010320109,0.6072279455298993,StandardScaler(),2.6219911575317383
rbf,0.25,1.1264816923358862,0.31622776601683794,0,0.7765865825816999,0.1688505014489414,0.8705566250390774,0.3853594631319308,0.4640089968757008,0.6051549240181567,StandardScaler(),2.6570687294006348
rbf,0.2,1.1264816923358862,0.31622776601683794,0,0.787607884776953,0.1605221417072259,0.865224805436267,0.3852366150730548,0.4641000332198557,0.5992300506545623,StandardScaler(),2.7945303916931152
rbf,0.2,1.4294613383568446,0.31622776601683794,0,0.8203448871843825,0.1357799386349515,0.8927723974529839,0.3845900533766238,0.4645781567449485,0.6066356160778897,StandardScaler(),2.889253616333008
rbf,0.2,0.8877197088985865,0.31622776601683794,0,0.7514954157781973,0.1878157145087271,0.83441900719022,0.3843755272947697,0.4647569252874031,0.5992305769357279,StandardScaler(),2.756603240966797
rbf,0.15,0.8877197088985865,0.31622776601683794,0,0.7581815187152584,0.1827635580983229,0.8287908254767428,0.3841246528699973,0.4649452888289629,0.5995263469508585,StandardScaler(),2.885287046432495
rbf,0.3,1.1264816923358862,0.31622776601683794,0,0.7617324705543727,0.1800759319788889,0.8748517366767032,0.3840973001480572,0.4649622264525844,0.6033776725215446,StandardScaler(),2.5312631130218506
rbf,0.25,0.8877197088985865,0.31622776601683794,0,0.7411969568451008,0.1955976925765771,0.8410839626832519,0.3840050169081915,0.4650411729475451,0.5992305769357279,StandardScaler(),2.586064338684082
rbf,0.25,1.8139306939110624,0.31622776601683794,0,0.8344091739113093,0.1251511609930432,0.9195791829145894,0.3838765327427724,0.4650952622276381,0.6069316492336031,StandardScaler(),2.8524036407470703
rbf,0.15,1.1264816923358862,0.31622776601683794,0,0.7950120173266368,0.154927605915988,0.8584120966813105,0.3837995246582353,0.465188171336137,0.6042652457075192,StandardScaler(),3.019953966140747
rbf,0.3,1.8139306939110624,0.31622776601683794,0,0.8170031590041064,0.1383059926244766,0.9255035951099924,0.3832457532621305,0.4655679265655848,0.6104850996644958,StandardScaler(),2.628003597259521
rbf,0.2,1.8139306939110624,0.31622776601683794,0,0.8480274497607114,0.1148588998811019,0.9146919393849648,0.3831811937422619,0.4656283035909485,0.6087094270113808,StandardScaler(),3.0468780994415283
rbf,0.35,1.4294613383568446,0.31622776601683794,0,0.7722056697025387,0.1721627192283018,0.905657929808974,0.3828377000658693,0.4658897425759378,0.6078200118413263,StandardScaler(),2.393601417541504
